;Код ОВД     ;Год         ;Номер документа      ;Номер престу;Дата пос тановки  в ИЦ     ;Текст решения                                                                                                                                      ;Дата решения            ;Фамилия сл-ля                                            ;Шифр докумен;Дата соз дания за писи     ;Код принятого решения      ;Кто приня л решение (код)     
34;1;1999;2727;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
35;1;1999;2752;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
36;1;1999;2763;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
37;1;1999;2886;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
38;1;1999;2958;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
39;1;1999;2971;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
40;1;1999;2975;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
41;1;1999;3047;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
42;1;1999;3097;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
43;1;1999;3172;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
44;1;1999;3445;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
45;1;1999;3520;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
46;1;1999;3602;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;14.06.2016;174;2
47;1;1999;3611;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
48;1;1999;3902;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
49;1;1999;3952;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
50;1;1999;4105;1;27.05.2016;Возобн.приост.ст208ч.1п.1                         ;16.05.2016;ШЕЛОМЕНЦЕВА         ;3;27.05.2016;174;2
