========================================================================================
РЕЕСТР УГОЛОВНЫХ ДЕЛ С ПОВТОРНЫМИ ОТМЕНАМИ И ВОЗОБНОВЛЕНИЯМИ (ВОЗОБНОВЛЕНИЙ > 1)
Дата формирования: 13.09.2026, 01:11:55
Всего дел в исходной базе: 6898
Всего дел с повторными возобновлениями: 2076
========================================================================================

[  42] ОВД: 36  | Дело №: 241236   | Возобновлений: [ 8] | Первая строка: 9665  | Даты: 16.02.2016, 01.04.2016, 08.04.2016, 15.02.2016
[  43] ОВД: 36  | Дело №: 247636   | Возобновлений: [ 8] | Первая строка: 9741  | Даты: 28.01.2016, 01.03.2016, 04.02.2016
[  44] ОВД: 37  | Дело №: 304037   | Возобновлений: [ 8] | Первая строка: 10447 | Даты: 29.04.2016, 23.06.2016, 03.03.2016
[  45] ОВД: 1   | Дело №: 3640     | Возобновлений: [ 7] | Первая строка: 1229  | Даты: 14.07.2016
[  46] ОВД: 2   | Дело №: 214102   | Возобновлений: [ 7] | Первая строка: 2567  | Даты: 22.06.2016, 12.03.2016, 26.05.2016
[  47] ОВД: 2   | Дело №: 343402   | Возобновлений: [ 7] | Первая строка: 2961  | Даты: 01.06.2016, 29.02.2016
[  48] ОВД: 2   | Дело №: 348302   | Возобновлений: [ 7] | Первая строка: 2996  | Даты: 30.04.2016, 15.07.2016, 28.03.2016
[  49] ОВД: 2   | Дело №: 368502   | Возобновлений: [ 7] | Первая строка: 3113  | Даты: 16.05.2016, 15.07.2016, 31.03.2016
[  50] ОВД: 2   | Дело №: 374202   | Возобновлений: [ 7] | Первая строка: 3146  | Даты: 31.03.2016
[  51] ОВД: 3   | Дело №: 160903   | Возобновлений: [ 7] | Первая строка: 3587  | Даты: 16.05.2016, 07.06.2016, 25.07.2016, 05.04.2016
[  52] ОВД: 3   | Дело №: 205903   | Возобновлений: [ 7] | Первая строка: 3623  | Даты: 27.05.2016, 27.04.2016, 15.06.2016, 24.05.2016
[  53] ОВД: 3   | Дело №: 211303   | Возобновлений: [ 7] | Первая строка: 3630  | Даты: 21.01.2016, 27.04.2016, 18.04.2016, 10.07.2016, 03.02.2016
[  54] ОВД: 3   | Дело №: 247003   | Возобновлений: [ 7] | Первая строка: 3695  | Даты: 09.03.2016, 26.01.2016, 09.02.2016
[  55] ОВД: 3   | Дело №: 297603   | Возобновлений: [ 7] | Первая строка: 3893  | Даты: 20.04.2016, 08.06.2016, 03.06.2016
[  56] ОВД: 3   | Дело №: 310903   | Возобновлений: [ 7] | Первая строка: 3952  | Даты: 10.05.2016, 26.04.2016, 20.06.2016, 18.05.2016, 20.04.2016
[  57] ОВД: 8   | Дело №: 117708   | Возобновлений: [ 7] | Первая строка: 5573  | Даты: 16.02.2016
[  58] ОВД: 20  | Дело №: 257220   | Возобновлений: [ 7] | Первая строка: 6754  | Даты: 23.05.2016, 01.03.2016
[  59] ОВД: 20  | Дело №: 124820   | Возобновлений: [ 7] | Первая строка: 6799  | Даты: 05.04.2016
[  60] ОВД: 20  | Дело №: 141120   | Возобновлений: [ 7] | Первая строка: 6827  | Даты: 29.06.2016, 14.04.2016, 24.05.2016
[  61] ОВД: 31  | Дело №: 157231   | Возобновлений: [ 7] | Первая строка: 8008  | Даты: 25.04.2016, 25.01.2016
[  62] ОВД: 31  | Дело №: 177631   | Возобновлений: [ 7] | Первая строка: 8130  | Даты: 19.06.2016, 17.05.2016
[  63] ОВД: 31  | Дело №: 211531   | Возобновлений: [ 7] | Первая строка: 8223  | Даты: 11.07.2016
[  64] ОВД: 31  | Дело №: 216331   | Возобновлений: [ 7] | Первая строка: 8235  | Даты: 11.07.2016
[  65] ОВД: 35  | Дело №: 422335   | Возобновлений: [ 7] | Первая строка: 8867  | Даты: 16.02.2016, 22.04.2016
[  66] ОВД: 35  | Дело №: 176735   | Возобновлений: [ 7] | Первая строка: 8983  | Даты: 04.05.2016, 22.01.2016, 14.01.2016, 29.02.2016
[  67] ОВД: 35  | Дело №: 201635   | Возобновлений: [ 7] | Первая строка: 9063  | Даты: 25.05.2016, 17.06.2016
[  68] ОВД: 36  | Дело №: 183136   | Возобновлений: [ 7] | Первая строка: 9497  | Даты: 15.04.2016, 18.01.2016, 29.02.2016
[  69] ОВД: 36  | Дело №: 251736   | Возобновлений: [ 7] | Первая строка: 9784  | Даты: 16.02.2016
[  70] ОВД: 36  | Дело №: 258036   | Возобновлений: [ 7] | Первая строка: 9839  | Даты: 12.05.2016, 10.03.2016
